File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF546RAG	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR429XTR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA			SDS	formaldehyde		2017-02-27	ENCODE			200-400	1	1_1							/files/ENCFF466OLG/, /files/ENCFF721LZU/	5702685	ENCODE Processing Pipeline	a00cdc891e4073c25f59d8235f94a5a2		https://www.encodeproject.org/files/ENCFF546RAG/@@download/ENCFF546RAG.bed.gz				released	s3://encode-public/2017/02/10/4ecae4d0-7e55-4588-b4d5-89f7dd7ea58c/ENCFF546RAG.bed.gz	low read depth, mild to moderate bottlenecking, low read length		
ENCFF285OCH	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR429XTR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA			SDS	formaldehyde		2017-02-27	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF682NGE/, /files/ENCFF466OLG/, /files/ENCFF721LZU/, /files/ENCFF100PTE/	6840429	ENCODE Processing Pipeline	138bb6cb988ccd7302fed63cf0d33986		https://www.encodeproject.org/files/ENCFF285OCH/@@download/ENCFF285OCH.bed.gz				released	s3://encode-public/2017/02/10/66833239-d8cc-49f1-8562-df8dacd0a69f/ENCFF285OCH.bed.gz	low read depth, mild to moderate bottlenecking, low read length		
ENCFF809AYK	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR429XTR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA			SDS	formaldehyde		2017-02-27	ENCODE			200-400	2	2_1							/files/ENCFF682NGE/, /files/ENCFF100PTE/	5217721	ENCODE Processing Pipeline	f566fb5c685dba707c8e6f0dfa094156		https://www.encodeproject.org/files/ENCFF809AYK/@@download/ENCFF809AYK.bed.gz				released	s3://encode-public/2017/02/10/b28968d9-132f-491d-beab-909170de9a4f/ENCFF809AYK.bed.gz	low read depth, mild to moderate bottlenecking, low read length		
ENCFF282WIP	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR429XTR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA			SDS	formaldehyde		2017-02-27	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF285OCH/, /files/ENCFF809AYK/, /files/ENCFF546RAG/, /files/ENCFF419RSJ/	152334	ENCODE Processing Pipeline	30c8ecb8f373ec17be7c6331bfd34edc		https://www.encodeproject.org/files/ENCFF282WIP/@@download/ENCFF282WIP.bed.gz				released	s3://encode-public/2017/02/10/a7174b92-2bd9-4f2e-8558-b6a7f20136cc/ENCFF282WIP.bed.gz	low read depth, mild to moderate bottlenecking, low read length		
ENCFF448YOS	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR429XTR	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	DNA			SDS	formaldehyde		2017-02-27	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF285OCH/, /files/ENCFF809AYK/, /files/ENCFF546RAG/, /files/ENCFF419RSJ/	161538	ENCODE Processing Pipeline	c29e833c1cf56dbb7b813161c87dbcd6		https://www.encodeproject.org/files/ENCFF448YOS/@@download/ENCFF448YOS.bed.gz				released	s3://encode-public/2017/02/10/ab969802-d99c-4344-ad02-ca9f8ec6f19b/ENCFF448YOS.bed.gz	low read depth, mild to moderate bottlenecking, low read length		
ENCFF437QLV	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR801JWB	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/HOMEZ-human/				HOMEZ-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF045CPH/, /files/ENCFF174OKT/	2342487	ENCODE Processing Pipeline	64bb0898a9eb0358abe0efcdb43ffcb1		https://www.encodeproject.org/files/ENCFF437QLV/@@download/ENCFF437QLV.bed.gz				released	s3://encode-public/2020/07/03/a81f9220-a918-4374-9e4a-492d5101f877/ENCFF437QLV.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF439PTK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR801JWB	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/HOMEZ-human/				HOMEZ-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF174OKT/, /files/ENCFF045CPH/, /files/ENCFF356LFX/	18048	ENCODE Processing Pipeline	eb8822df8bc62180ae24ba0d5b739d1c		https://www.encodeproject.org/files/ENCFF439PTK/@@download/ENCFF439PTK.bed.gz				released	s3://encode-public/2020/07/03/5c183f37-5d47-44b3-9514-5d94b73c115b/ENCFF439PTK.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF224AWK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR801JWB	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/HOMEZ-human/				HOMEZ-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF356LFX/, /files/ENCFF013FEH/, /files/ENCFF174OKT/	16946	ENCODE Processing Pipeline	f3195f2f636f50a8aac8cd01a04212bd		https://www.encodeproject.org/files/ENCFF224AWK/@@download/ENCFF224AWK.bed.gz				released	s3://encode-public/2020/07/03/452a0b86-7f6c-49ec-ba76-64482aad8368/ENCFF224AWK.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF809UKY	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR801JWB	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/HOMEZ-human/				HOMEZ-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF045CPH/, /files/ENCFF013FEH/, /files/ENCFF174OKT/	3235650	ENCODE Processing Pipeline	5b44a135df8a76cc09483b7f83958781		https://www.encodeproject.org/files/ENCFF809UKY/@@download/ENCFF809UKY.bed.gz				released	s3://encode-public/2020/07/03/437d692e-2328-45aa-9de3-43fc0b0a4814/ENCFF809UKY.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF601LMD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR801JWB	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/HOMEZ-human/				HOMEZ-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF045CPH/, /files/ENCFF013FEH/, /files/ENCFF356LFX/	48342	ENCODE Processing Pipeline	97d91af9766eea69b6f2305d0b957d84		https://www.encodeproject.org/files/ENCFF601LMD/@@download/ENCFF601LMD.bed.gz				released	s3://encode-public/2020/07/03/bf3cc712-0e09-46f2-aed5-11f73ae2eb02/ENCFF601LMD.bed.gz	moderate library complexity, mild to moderate bottlenecking		
