2020-12-23 08:12:10.095988	https://www.encodeproject.org/report/?type=Experiment&status=released&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.term_name=K562&assay_title=TF+ChIP-seq&perturbed=false&assembly=GRCh38&files.file_type=bam&limit=all
ID	Accession	Assay name	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment concentration	Biosample treatment concentration units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates
/experiments/ENCSR000AQG/	ENCSR000AQG	ChIP-seq	TF ChIP-seq	HDAC2	HDAC2	K562	K562	UCSC-ENCODE-hg19:wgEncodeEH002091,GEO:GSM1003447	ChIP-seq on human K562 HDAC2	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF000BZG/,/files/ENCFF000BZH/,/files/ENCFF000BZI/,/files/ENCFF000BZL/,/files/ENCFF001SZQ/,/files/ENCFF002CEO/,/files/ENCFF010SXM/,/files/ENCFF315OYW/,/files/ENCFF583ZBF/,/files/ENCFF859DKS/,/files/ENCFF118VIO/,/files/ENCFF979MVK/,/files/ENCFF388BJH/,/files/ENCFF480QNB/,/files/ENCFF456VOS/,/files/ENCFF205EFG/,/files/ENCFF610YXS/,/files/ENCFF964BMW/,/files/ENCFF772KRP/,/files/ENCFF652HWU/,/files/ENCFF480JCX/,/files/ENCFF918YKH/,/files/ENCFF417IVC/,/files/ENCFF950DNQ/,/files/ENCFF086GIP/,/files/ENCFF485YWM/,/files/ENCFF974TDS/,/files/ENCFF802ARP/,/files/ENCFF363GSV/,/files/ENCFF133DXG/,/files/ENCFF095NWO/,/files/ENCFF178YJX/,/files/ENCFF532SIS/,/files/ENCFF325JSZ/,/files/ENCFF680CDC/,/files/ENCFF448HKE/,/files/ENCFF713HRG/,/files/ENCFF657VJX/,/files/ENCFF716YLY/,/files/ENCFF337NZT/,/files/ENCFF951IMJ/,/files/ENCFF124TGZ/,/files/ENCFF233XEO/,/files/ENCFF930KIS/,/files/ENCFF501SEG/,/files/ENCFF660FBQ/,/files/ENCFF384MAK/,/files/ENCFF632FBG/,/files/ENCFF312HSR/	/experiment-series/ENCSR698HSF/	ENCBS674MPN,ENCBS639AAA	2,1	1	ENCAB000AHI	Homo sapiens	adult	53 years										/replicates/e4d1bda5-784c-480d-9a7f-2917f19da20e/,/replicates/44afc627-0af1-449d-a692-0bbe7449571a/
/experiments/ENCSR000AQI/	ENCSR000AQI	ChIP-seq	TF ChIP-seq	RBBP5	RBBP5	K562	K562	UCSC-ENCODE-hg19:wgEncodeEH002093,GEO:GSM1003449	ChIP-seq on human K562 RBBP5	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF000CBG/,/files/ENCFF000CBI/,/files/ENCFF000CBJ/,/files/ENCFF000CBL/,/files/ENCFF001TAB/,/files/ENCFF002CEU/,/files/ENCFF891FTF/,/files/ENCFF343WXI/,/files/ENCFF148AGP/,/files/ENCFF989QHY/,/files/ENCFF805ZZM/,/files/ENCFF443WKS/,/files/ENCFF624XFS/,/files/ENCFF713RXC/,/files/ENCFF849RLM/,/files/ENCFF251KZR/,/files/ENCFF550DDF/,/files/ENCFF178KOP/,/files/ENCFF707DNG/,/files/ENCFF462RXG/,/files/ENCFF761RMW/,/files/ENCFF869RAW/,/files/ENCFF200SIL/,/files/ENCFF058KTS/,/files/ENCFF528ISK/,/files/ENCFF564JQT/,/files/ENCFF058DJL/,/files/ENCFF384KND/,/files/ENCFF617FLM/,/files/ENCFF579WGO/,/files/ENCFF483WSN/,/files/ENCFF493SST/,/files/ENCFF484ZIS/,/files/ENCFF379MPS/,/files/ENCFF735UGM/,/files/ENCFF132HHJ/,/files/ENCFF221GIC/,/files/ENCFF284WFI/,/files/ENCFF938YIR/,/files/ENCFF694OAZ/,/files/ENCFF614LBP/,/files/ENCFF805AOR/,/files/ENCFF856CDH/,/files/ENCFF899YUP/,/files/ENCFF134VON/,/files/ENCFF666PCE/,/files/ENCFF941HWG/,/files/ENCFF438TOM/,/files/ENCFF737CYI/,/files/ENCFF930OMM/,/files/ENCFF872IKE/		ENCBS639AAA,ENCBS979ZKW	1,2,3	1	ENCAB000AKH	Homo sapiens	adult	53 years										/replicates/6dabb55b-8b49-458e-9f27-1d9ddf3b5093/,/replicates/8bf4c572-697a-43f9-a4cf-e463b517cfe2/,/replicates/f876100e-9c48-4342-b8ef-2467b9af6120/
/experiments/ENCSR000BLI/	ENCSR000BLI	ChIP-seq	TF ChIP-seq	E2F6	E2F6	K562	K562	FactorBook:ENCSR000BLI,UCSC-ENCODE-hg19:wgEncodeEH001598,GEO:GSM803469	E2F6 ChIP-seq protocol v041610.2 on human K562	Richard Myers, HAIB	ENCODE	released	/files/ENCFF000PYL/,/files/ENCFF000PYM/,/files/ENCFF000PYN/,/files/ENCFF000PYO/,/files/ENCFF000PYQ/,/files/ENCFF000PYS/,/files/ENCFF000PYX/,/files/ENCFF000PYZ/,/files/ENCFF001UJP/,/files/ENCFF001UJQ/,/files/ENCFF002CLU/,/files/ENCFF721DHW/,/files/ENCFF386ZEB/,/files/ENCFF032EXY/,/files/ENCFF393OPU/,/files/ENCFF620AHU/,/files/ENCFF551QGI/,/files/ENCFF665PGG/,/files/ENCFF823GCX/,/files/ENCFF827SLL/,/files/ENCFF631VAT/,/files/ENCFF600KSR/,/files/ENCFF367DJC/,/files/ENCFF178MCM/,/files/ENCFF387JQM/,/files/ENCFF111LUX/,/files/ENCFF390HFN/,/files/ENCFF801QVO/,/files/ENCFF801JVB/,/files/ENCFF028RYK/,/files/ENCFF933BWN/,/files/ENCFF779QGH/,/files/ENCFF097LYC/,/files/ENCFF653OIU/,/files/ENCFF160TXQ/,/files/ENCFF533GSH/,/files/ENCFF581MUK/,/files/ENCFF401YGB/,/files/ENCFF321IMA/,/files/ENCFF072IAO/,/files/ENCFF395KZG/,/files/ENCFF142VQA/,/files/ENCFF116HDD/,/files/ENCFF123OID/,/files/ENCFF015ZGW/,/files/ENCFF241OVB/,/files/ENCFF373HDQ/,/files/ENCFF388AYF/,/files/ENCFF002SKH/,/files/ENCFF917COW/,/files/ENCFF318UXE/,/files/ENCFF574SLM/	/experiment-series/ENCSR183WHB/	ENCBS109ENC	1,2	1	ENCAB000AFW	Homo sapiens	adult	53 years										/replicates/7cc455f2-9f42-4016-bae4-5521b61a3489/,/replicates/7ec5f3bf-577b-430a-a120-a19d24edabc9/
/experiments/ENCSR000AQH/	ENCSR000AQH	ChIP-seq	TF ChIP-seq	PHF8	PHF8	K562	K562	GEO:GSM1003450,UCSC-ENCODE-hg19:wgEncodeEH002092	ChIP-seq on human K562 PHF8	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF000CAP/,/files/ENCFF000CAQ/,/files/ENCFF000CAR/,/files/ENCFF000CAT/,/files/ENCFF000CBB/,/files/ENCFF001SZX/,/files/ENCFF002CER/,/files/ENCFF004YQN/,/files/ENCFF461XDG/,/files/ENCFF931EAU/,/files/ENCFF205QLX/,/files/ENCFF592RSM/,/files/ENCFF609HJW/,/files/ENCFF387ZPG/,/files/ENCFF509IQQ/,/files/ENCFF845EFA/,/files/ENCFF228ATX/,/files/ENCFF666RSM/,/files/ENCFF302WSZ/,/files/ENCFF121RMK/,/files/ENCFF741XCT/,/files/ENCFF785NZH/,/files/ENCFF400KUD/,/files/ENCFF100WXV/,/files/ENCFF626KTJ/,/files/ENCFF427QTV/,/files/ENCFF739TWP/,/files/ENCFF192RQZ/,/files/ENCFF444YMV/,/files/ENCFF430CBL/,/files/ENCFF982OPG/,/files/ENCFF241UPO/,/files/ENCFF756UVZ/,/files/ENCFF033ARN/,/files/ENCFF140HPP/,/files/ENCFF594ZHW/,/files/ENCFF541UBY/,/files/ENCFF860HRF/,/files/ENCFF913SYY/,/files/ENCFF973ABC/,/files/ENCFF619ZYB/,/files/ENCFF754RGW/,/files/ENCFF581VHB/,/files/ENCFF124NVZ/,/files/ENCFF414RIR/,/files/ENCFF952YYL/,/files/ENCFF952YDR/,/files/ENCFF259PAD/,/files/ENCFF184LSS/,/files/ENCFF250MHG/,/files/ENCFF225IZQ/,/files/ENCFF708OCF/,/files/ENCFF460IWD/		ENCBS639AAA,ENCBS775RXB,ENCBS984VNR	2,3,4	1	ENCAB000AJX,ENCAB757LUG	Homo sapiens	adult	53 years										/replicates/f0567eb7-d153-4e1a-8718-17b0012ce4d8/,/replicates/1b8e2b31-c46a-430b-a937-0325075d834a/,/replicates/570ef0c9-3083-4376-8544-2f9eb0365cf0/
/experiments/ENCSR630KQP/	ENCSR630KQP	ChIP-seq	TF ChIP-seq	ZNF250	ZNF250	K562 genetically modified using CRISPR	K562		eGFP-ZNF250 ChIP-seq on human K562	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF462GDA/,/files/ENCFF643LKA/,/files/ENCFF919RQG/,/files/ENCFF481FOV/,/files/ENCFF539HWN/,/files/ENCFF917AHS/,/files/ENCFF078HPF/,/files/ENCFF396HIU/,/files/ENCFF090VXV/,/files/ENCFF598QEL/,/files/ENCFF939RJZ/,/files/ENCFF184DNT/,/files/ENCFF724UKZ/,/files/ENCFF576AUP/,/files/ENCFF418MIY/,/files/ENCFF064UQN/,/files/ENCFF906XAM/,/files/ENCFF906FWR/,/files/ENCFF994SMS/,/files/ENCFF331AVF/,/files/ENCFF822LDN/,/files/ENCFF582YUV/,/files/ENCFF998LME/,/files/ENCFF973QVR/,/files/ENCFF407HJW/,/files/ENCFF746MJG/		ENCBS007UBK,ENCBS021EBG	2,1	1	ENCAB728YTO	Homo sapiens	adult	53 years										/replicates/e412095b-de41-4771-af6e-80c87f928850/,/replicates/c7e8e4b6-2cb1-4165-823a-93566869d818/
/experiments/ENCSR998OMC/	ENCSR998OMC	ChIP-seq	TF ChIP-seq	TFCP2	TFCP2	K562 genetically modified using CRISPR	K562		eGFP-TFCP2 ChIP-seq on human K562	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF797AKQ/,/files/ENCFF810WZH/,/files/ENCFF202QWH/,/files/ENCFF436KKW/,/files/ENCFF965WGH/,/files/ENCFF836ZWG/,/files/ENCFF910JJV/,/files/ENCFF036SCX/,/files/ENCFF463FTD/,/files/ENCFF599TIX/,/files/ENCFF508QIX/,/files/ENCFF610IQK/,/files/ENCFF954KKP/,/files/ENCFF495VPN/,/files/ENCFF762UAS/,/files/ENCFF990KOP/,/files/ENCFF682XOQ/,/files/ENCFF419VEM/,/files/ENCFF691UHA/,/files/ENCFF636QDP/,/files/ENCFF334NBU/,/files/ENCFF631KTG/,/files/ENCFF652MHG/,/files/ENCFF022SLQ/,/files/ENCFF392MAR/,/files/ENCFF327DHO/,/files/ENCFF418GMJ/,/files/ENCFF859ZKD/,/files/ENCFF975CXP/,/files/ENCFF984WXL/		ENCBS421QQY,ENCBS392QKT	1,2	1	ENCAB728YTO	Homo sapiens	adult	53 years										/replicates/9d18b5eb-84cc-4b1a-b032-0156c50bc930/,/replicates/eb008697-ecdd-40e6-bacd-ed24bcee794a/
/experiments/ENCSR000BKM/	ENCSR000BKM	ChIP-seq	TF ChIP-seq	GATA2	GATA2	K562	K562	GEO:GSM803540,FactorBook:ENCSR000BKM,UCSC-ENCODE-hg19:wgEncodeEH001576	GATA2 ChIP-seq protocol PCR1x on human K562	Richard Myers, HAIB	ENCODE	released	/files/ENCFF000QAP/,/files/ENCFF000QAR/,/files/ENCFF000QAS/,/files/ENCFF000QAT/,/files/ENCFF000QAU/,/files/ENCFF000QAW/,/files/ENCFF000QBC/,/files/ENCFF000QBD/,/files/ENCFF001UKB/,/files/ENCFF001UKC/,/files/ENCFF002CMA/,/files/ENCFF077XMB/,/files/ENCFF414LJV/,/files/ENCFF257ZRY/,/files/ENCFF541TGX/,/files/ENCFF828HPM/,/files/ENCFF357QQD/,/files/ENCFF808ASG/,/files/ENCFF974OQB/,/files/ENCFF135BZT/	/experiment-series/ENCSR022UWN/	ENCBS109ENC	1,2	1	ENCAB000AGW	Homo sapiens	adult	53 years										/replicates/e70cd395-49d8-47b3-8244-c57690514dfb/,/replicates/5ef20982-efe2-4510-9c9f-5f8564e03d32/
/experiments/ENCSR459FUE/	ENCSR459FUE	ChIP-seq	TF ChIP-seq	ERF	ERF	K562 genetically modified using CRISPR	K562		eGFP-ERF ChIP-seq on human K562	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF138AOI/,/files/ENCFF450GAU/,/files/ENCFF135OXD/,/files/ENCFF719GWW/,/files/ENCFF706KWW/,/files/ENCFF201JHG/,/files/ENCFF060SIJ/,/files/ENCFF584KVL/,/files/ENCFF251ZED/,/files/ENCFF263BFH/,/files/ENCFF374CDE/,/files/ENCFF070JZZ/,/files/ENCFF186LSQ/,/files/ENCFF033TTJ/,/files/ENCFF723VHQ/,/files/ENCFF706ISW/,/files/ENCFF526GOD/,/files/ENCFF959UKZ/,/files/ENCFF060BDL/,/files/ENCFF626IQJ/,/files/ENCFF772WKB/,/files/ENCFF834VOW/,/files/ENCFF462ZIG/,/files/ENCFF419TRU/,/files/ENCFF517KNR/,/files/ENCFF305VKQ/,/files/ENCFF928BEL/,/files/ENCFF253THD/,/files/ENCFF605YRB/,/files/ENCFF190BDC/		ENCBS471IRT,ENCBS951WCF	1,2	1	ENCAB728YTO	Homo sapiens	adult	53 years										/replicates/6885981e-8e40-4846-8e9a-c16957db678f/,/replicates/24cf08ca-0e29-4115-b4a4-52871e5a324a/
/experiments/ENCSR000AUB/	ENCSR000AUB	ChIP-seq	TF ChIP-seq	SIRT6	SIRT6	K562	K562	GEO:GSM1003560,UCSC-ENCODE-hg19:wgEncodeEH003111	ChIP-seq on human K562 SIRT6	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF000CBZ/,/files/ENCFF000CCA/,/files/ENCFF000CCC/,/files/ENCFF000CCK/,/files/ENCFF001TAE/,/files/ENCFF650RQR/,/files/ENCFF714MHA/,/files/ENCFF817FTZ/,/files/ENCFF163KLJ/,/files/ENCFF667ZBS/,/files/ENCFF297NTZ/,/files/ENCFF563TWG/,/files/ENCFF430LQG/,/files/ENCFF355NGR/,/files/ENCFF671JEN/,/files/ENCFF584VGN/,/files/ENCFF202WRI/,/files/ENCFF954TIN/,/files/ENCFF827UWM/,/files/ENCFF747XDN/,/files/ENCFF945NOR/	/experiment-series/ENCSR036KJX/	ENCBS639AAA	1	1	ENCAB000AKT	Homo sapiens	adult	53 years										/replicates/bc7a89e0-6ed9-48d3-b055-ac1396c7efc0/
/experiments/ENCSR000EFV/	ENCSR000EFV	ChIP-seq	TF ChIP-seq	MAX	MAX	K562	K562	UCSC-ENCODE-hg19:wgEncodeEH002869,FactorBook:ENCSR000EFV,GEO:GSM935344	MAX ChIP-seq on human K562 produced by the Snyder lab	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF000YTD/,/files/ENCFF000YTE/,/files/ENCFF000YTF/,/files/ENCFF000YTH/,/files/ENCFF000YTJ/,/files/ENCFF000YTK/,/files/ENCFF001VNS/,/files/ENCFF002CXD/,/files/ENCFF067FGF/,/files/ENCFF844LIK/,/files/ENCFF635HIS/,/files/ENCFF083GLO/,/files/ENCFF360QBV/,/files/ENCFF610XAJ/,/files/ENCFF543CKI/,/files/ENCFF938QJA/,/files/ENCFF172YQZ/,/files/ENCFF126XVR/,/files/ENCFF552UDY/,/files/ENCFF412VKD/,/files/ENCFF290DAI/,/files/ENCFF114EOW/,/files/ENCFF796GHK/,/files/ENCFF904QUW/,/files/ENCFF825YKX/,/files/ENCFF795AWI/,/files/ENCFF618QJO/,/files/ENCFF730OEJ/,/files/ENCFF481AOS/,/files/ENCFF778PTE/,/files/ENCFF498QNB/,/files/ENCFF618VMC/,/files/ENCFF466VUY/,/files/ENCFF920JDG/,/files/ENCFF527QTX/,/files/ENCFF857RWI/,/files/ENCFF667YTQ/,/files/ENCFF934LWU/,/files/ENCFF996GBZ/,/files/ENCFF087MNA/,/files/ENCFF375JMY/,/files/ENCFF417GYT/,/files/ENCFF108GKS/,/files/ENCFF799RHR/,/files/ENCFF468KKD/,/files/ENCFF579DYT/,/files/ENCFF799HIG/,/files/ENCFF679HVZ/,/files/ENCFF353KFX/	/experiment-series/ENCSR383MXQ/	ENCBS039ENC	1,2	1	ENCAB000AIL	Homo sapiens	adult	53 years										/replicates/c599c4a6-970f-47d0-834f-454a25725c22/,/replicates/5860edf8-692f-4f0d-bb49-6f1ef0e61dca/
