	mouse_TATA	mouse_INR
0610009B22Rik	False	False
0610010K14Rik	False	False
0610040J01Rik	False	False
1110017D15Rik	False	False
1110032A03Rik	False	False
1110032F04Rik	False	False
1190007I07Rik	False	True
1600012H06Rik	False	True
1600014C10Rik	False	False
1700001L19Rik	False	False
1700009N14Rik	False	False
1700012B09Rik	False	False
1700013H16Rik	True	True
1700016K19Rik	False	True
1700017B05Rik	False	False
1700019D03Rik	False	True
1700028K03Rik	False	True
1700029I15Rik	False	True
1700029J07Rik	False	True
1700030J22Rik	False	False
1700037H04Rik	False	True
1700057G04Rik	False	True
1700066B19Rik	False	False
1700066M21Rik	False	False
1700093K21Rik	False	False
1700102P08Rik	False	False
1700123O20Rik	False	False
1810013L24Rik	False	True
1810037I17Rik	False	True
1810055G02Rik	False	False
1810058I24Rik	False	False
2200002D01Rik	False	True
2210016L21Rik	False	True
2300002M23Rik	True	True
2300009A05Rik	False	False
2310022A10Rik	False	True
2310022B05Rik	False	False
2310057J18Rik	True	True
2310057M21Rik	False	False
2410004B18Rik	False	False
2510039O18Rik	False	False
2610002M06Rik	False	False
2610507B11Rik	False	False
2610528A11Rik	False	False
2610528J11Rik	False	True
2700049A03Rik	False	False
2810004N23Rik	False	False
3425401B19Rik	False	True
3830403N18Rik	False	True
4833439L19Rik	False	False
4921507P07Rik	False	False
4921509C19Rik	True	False
4930447C04Rik	False	False
4930451I11Rik	False	False
4930453N24Rik	False	False
4930486L24Rik	False	False
4930503L19Rik	True	False
4930522H14Rik	False	True
4930550C14Rik	False	False
4930558C23Rik	False	False
4930568D16Rik	False	False
4930579G24Rik	False	True
4930590J08Rik	False	False
4931406C07Rik	False	False
4931414P19Rik	False	True
4932438A13Rik	False	True
4933405O20Rik	False	False
4933427D14Rik	False	False
4933434E20Rik	False	True
5430402E10Rik	False	False
5530400C23Rik	True	True
5730455P16Rik	False	False
6030468B19Rik	False	True
6430571L13Rik	False	False
6430628N08Rik	False	False
9130409I23Rik	False	False
9230019H11Rik	False	False
9530003J23Rik	True	True
9530068E07Rik	False	False
9930104L06Rik	False	False
a	True	False
A1bg	False	True
A1cf	True	True
A2m	True	False
A2ml1	False	False
A3galt2	False	True
A430005L14Rik	False	True
A430033K04Rik	False	True
A4galt	False	True
A4gnt	False	True
A530016L24Rik	False	True
A530064D06Rik	False	True
A730046J19Rik	False	False
AA467197	True	False
AA986860	False	True
Aaas	False	False
Aacs	False	True
Aadac	False	True
Aadacl3	True	False
Aadacl4fm1	False	False
Aadat	True	False
Aagab	False	True
Aak1	False	True
Aamdc	False	False
Aamp	False	False
Aanat	False	False
Aar2	False	False
Aars	False	False
Aars2	False	False
Aarsd1	False	False
Aasdh	False	False
Aasdhppt	False	False
Aass	False	True
Aatf	False	False
Aatk	False	True
AB124611	False	False
Abat	False	False
Abca1	True	False
Abca12	False	True
Abca13	True	False
Abca17	False	False
Abca2	False	False
Abca3	False	False
Abca4	False	False
Abca5	False	False
Abca6	False	True
Abca7	False	False
Abca8a	False	True
Abca8b	False	True
Abca9	False	True
Abcb10	False	False
Abcb11	True	False
Abcb1a	False	True
Abcb1b	False	False
Abcb4	False	False
Abcb5	False	True
Abcb6	False	False
Abcb7	False	False
Abcb8	False	False
Abcb9	False	False
Abcc1	False	False
Abcc10	False	False
Abcc12	False	True
Abcc2	True	True
Abcc3	False	True
Abcc4	False	False
Abcc5	True	False
Abcc6	False	True
Abcc8	False	True
Abcc9	False	True
Abcd1	False	False
Abcd2	False	False
Abcd3	False	True
Abcd4	False	False
Abce1	False	False
Abcf1	False	False
Abcf2	False	False
Abcf3	False	False
Abcg1	False	False
Abcg2	False	False
Abcg3	False	False
Abcg4	False	True
Abcg5	False	False
Abcg8	False	False
Abhd10	False	True
Abhd11	False	False
Abhd12	False	True
Abhd13	False	False
Abhd14a	False	False
Abhd14b	False	False
Abhd15	False	True
Abhd16a	False	False
Abhd16b	False	False
Abhd17a	False	False
Abhd17b	False	False
Abhd17c	False	False
Abhd18	False	False
Abhd2	False	False
Abhd3	False	True
Abhd4	True	False
Abhd5	False	True
Abhd6	False	False
Abhd8	False	False
Abi1	False	False
Abi2	False	False
Abi3	False	True
Abi3bp	False	True
Abitram	False	False
Abl1	False	False
Abl2	False	False
Ablim1	False	True
Ablim2	False	False
Ablim3	False	True
Abo	False	False
Abr	False	True
Abra	True	True
Abraxas1	False	False
Abraxas2	False	False
Abt1	False	True
Abtb1	False	True
Abtb2	False	False
Acaa1a	False	True
Acaa1b	True	False
Acaa2	False	False
Acaca	False	False
Acacb	False	False
Acad10	False	False
Acad11	False	False
Acad8	False	False
Acad9	False	False
Acadl	False	True
Acadm	False	True
Acads	False	True
Acadsb	False	False
Acadvl	False	False
Acan	False	True
Acap1	False	True
Acap2	False	True
Acat1	False	False
Acat2	False	True
Acat3	False	True
Acbd3	False	False
Acbd5	False	False
Acbd6	False	False
Acbd7	False	True
Accs	False	True
Accsl	False	False
Acd	False	False
Ace	True	False
Ace2	True	False
Ace3	False	False
Acer1	False	True
Acer2	True	False
Acer3	False	False
Ache	False	False
Acin1	False	False
Ackr1	False	False
Ackr2	False	False
Ackr3	False	False
Ackr4	False	False
Acly	True	False
Acmsd	True	True
Acnat1	False	False
Acnat2	True	False
Aco1	False	False
Aco2	True	False
Acod1	False	False
Acot1	False	False
Acot10	False	False
Acot11	False	False
Acot12	False	True
Acot13	False	False
Acot2	False	False
Acot3	False	False
Acot4	False	False
Acot5	False	False
Acot6	False	True
Acot7	False	True
Acot8	True	True
Acot9	False	True
Acox1	False	False
Acox2	False	False
Acox3	False	False
Acoxl	False	False
Acp1	False	False
Acp2	False	True
Acp4	False	False
Acp5	False	False
Acp6	True	False
Acp7	False	False
Acpp	True	False
Acr	False	False
Acrbp	False	False
Acsbg1	False	False
Acsbg2	False	True
Acsf2	False	True
Acsf3	False	True
Acsl1	False	False
Acsl3	False	False
Acsl4	False	False
Acsl5	False	True
Acsl6	False	True
Acsm1	False	True
Acsm2	False	True
Acsm3	False	True
Acsm4	False	False
Acsm5	False	True
Acss1	False	False
Acss2	False	True
Acss3	False	True
Acta1	True	True
Acta2	True	False
Actb	True	True
Actbl2	True	False
Actc1	False	False
Actg1	True	False
Actg2	True	True
Actl6a	False	False
Actl6b	False	False
Actl7a	False	False
Actl7b	False	True
Actl9	False	False
Actn1	False	True
Actn2	True	False
Actn3	False	False
Actn4	False	False
Actr10	False	True
Actr1a	False	False
Actr1b	False	False
Actr2	False	False
Actr3	False	False
Actr3b	False	True
Actr5	False	False
Actr6	False	True
Actr8	False	False
Actrt1	False	False
Actrt2	False	False
Actrt3	False	False
Acvr1	False	True
Acvr1b	False	False
Acvr1c	False	True
Acvr2a	False	False
Acvr2b	False	True
Acvrl1	False	False
Acy1	False	False
Acy3	True	False
Acyp1	False	False
Acyp2	False	False
Ada	True	False
Adad1	False	True
Adad2	False	True
Adal	False	False
Adam10	False	False
Adam11	False	False
Adam12	False	False
Adam15	False	False
Adam17	False	False
Adam18	False	False
Adam19	False	False
Adam1a	False	False
Adam1b	False	False
Adam2	False	True
Adam21	False	False
Adam22	False	True
Adam23	False	True
Adam24	False	False
Adam25	False	True
Adam26a	False	False
Adam28	False	False
Adam29	False	False
Adam3	False	False
Adam32	False	False
Adam33	False	False
Adam5	False	False
Adam7	False	False
Adam8	False	False
Adam9	False	False
Adamdec1	False	False
Adamts1	True	False
Adamts10	False	False
Adamts12	False	True
Adamts13	False	True
Adamts15	True	False
Adamts16	False	True
Adamts17	False	False
Adamts18	True	False
Adamts19	False	True
Adamts2	False	False
Adamts20	False	False
Adamts3	False	False
Adamts4	True	False
Adamts5	True	True
Adamts7	False	False
Adamts8	True	False
Adamts9	False	False
Adamtsl1	False	True
Adamtsl2	True	True
Adamtsl3	False	False
Adamtsl4	False	True
Adamtsl5	False	False
Adap1	False	False
Adap2	False	False
Adar	False	True
Adarb1	False	True
Adarb2	False	True
Adat1	False	False
Adat2	False	False
Adck1	False	False
Adck2	False	False
Adck5	False	False
Adcy1	False	False
Adcy10	False	False
Adcy2	False	False
Adcy3	False	True
Adcy4	False	False
Adcy5	False	True
Adcy6	False	True
Adcy7	False	True
Adcy8	True	False
Adcy9	False	False
Adcyap1	True	False
Adcyap1r1	False	True
Add1	False	False
Add2	False	True
Add3	False	True
Adgb	False	False
Adgra1	False	False
Adgra2	False	False
Adgra3	False	False
Adgrb1	False	False
Adgrb2	False	False
Adgrb3	False	False
Adgrd1	False	False
Adgre1	False	False
Adgre4	False	False
Adgre5	False	False
Adgrf1	False	False
Adgrf2	False	False
Adgrf3	False	False
Adgrf4	False	False
Adgrf5	False	False
Adgrg1	False	False
Adgrg2	False	False
Adgrg3	False	False
Adgrg4	False	False
Adgrg5	False	False
Adgrg6	False	False
Adgrg7	False	False
Adgrl1	False	False
Adgrl2	False	False
Adgrl3	False	False
Adgrl4	False	False
Adgrv1	False	False
Adh1	False	True
Adh4	True	True
Adh5	False	False
Adh6b	False	False
Adh7	True	False
Adhfe1	False	False
Adi1	False	False
Adig	False	True
Adipoq	False	True
Adipor1	False	False
Adipor2	False	False
Adk	False	True
Adm	True	False
Adm2	False	False
Adnp	False	False
Adnp2	False	False
Ado	False	False
Adora1	False	True
Adora2a	False	False
Adora2b	False	True
Adora3	False	False
Adpgk	False	False
Adprh	False	False
Adprhl1	False	False
Adprm	False	False
Adprs	False	False
Adra1a	False	False
Adra1b	False	False
Adra1d	False	True
Adra2a	True	False
Adra2b	False	False
Adra2c	False	False
Adrb1	False	False
Adrb2	False	False
Adrb3	False	False
Adrm1	False	False
Adsl	False	False
Adss	False	False
Adssl1	True	False
Adtrp	False	False
Aebp1	False	True
Aebp2	False	False
Aen	False	False
Afap1	False	False
Afap1l1	False	False
Afap1l2	False	True
Afdn	False	False
Aff1	False	True
Aff2	False	False
Aff3	False	True
Aff4	False	True
Afg1l	False	False
Afg3l1	False	False
Afg3l2	False	True
Afm	True	True
Afmid	False	False
Afp	False	False
Aftph	False	False
Aga	False	False
Agap1	False	True
Agap2	False	True
Agap3	False	False
Agbl1	False	True
Agbl2	False	False
Agbl3	False	True
Agbl4	False	False
Agbl5	False	True
Ager	False	True
Agfg1	False	False
Agfg2	False	False
Aggf1	False	False
Agk	False	False
Agl	False	False
Agmat	False	True
Agmo	False	False
Ago1	False	False
Ago2	False	False
Ago3	False	False
Ago4	False	False
Agpat1	False	True
Agpat2	False	False
Agpat3	False	False
Agpat4	False	False
Agpat5	False	False
Agps	False	False
Agr2	True	True
Agr3	True	True
Agrn	False	False
Agrp	False	False
Agt	True	False
Agtpbp1	False	False
Agtr1a	True	False
Agtr1b	True	True
Agtr2	True	True
Agtrap	False	False
Agxt	False	True
Agxt2	False	False
Ahctf1	False	False
Ahcy	True	False
Ahcyl	False	False
Ahcyl1	False	False
Ahcyl2	False	True
Ahdc1	False	True
Ahi1	False	True
Ahnak	False	False
Ahnak2	False	False
Ahr	False	False
Ahrr	False	False
Ahsa1	False	False
Ahsa2	False	True
Ahsg	True	False
Ahsp	False	False
AI413582	False	False
AI467606	False	True
AI593442	False	True
AI597479	False	True
Aicda	True	True
Aida	False	False
Aif1	False	True
Aif1l	False	True
Aifm1	False	True
Aifm2	False	True
Aifm3	False	False
Aig1	False	False
Aim2	False	False
Aimp1	False	False
Aimp2	False	True
Aip	False	True
Aipl1	False	False
Aire	True	False
Ajap1	False	True
Ajm1	False	False
Ajuba	False	False
Ak1	False	True
Ak2	False	False
Ak3	False	False
Ak4	False	False
Ak5	False	False
Ak6	False	False
Ak7	False	True
Ak8	False	False
Ak9	False	False
Akain1	False	False
Akap1	False	True
Akap10	False	False
Akap11	False	False
Akap12	False	True
Akap13	False	False
Akap14	False	False
Akap17b	False	False
Akap3	False	True
Akap4	False	True
Akap5	False	True
Akap6	False	False
Akap7	True	True
Akap8	False	False
Akap8l	False	True
Akap9	False	False
Akip1	False	False
Akirin1	False	False
Akirin2	False	False
Akna	False	False
Akp3	True	False
Akr1a1	False	False
Akr1b10	False	True
Akr1b3	True	False
Akr1b7	True	False
Akr1b8	False	True
Akr1c12	False	False
Akr1c13	False	True
Akr1c14	True	False
Akr1c18	False	True
Akr1c19	False	True
Akr1c20	False	True
Akr1c21	True	False
Akr1c6	False	True
Akr1cl	True	False
Akr1d1	False	True
Akr1e1	False	False
Akr7a5	False	False
Akt1	False	False
Akt1s1	False	True
Akt2	False	False
Akt3	False	False
Aktip	False	True
Alad	False	False
Alas1	True	False
Alas2	False	True
Alb	False	False
Alcam	False	True
Aldh16a1	False	False
Aldh18a1	False	False
Aldh1a1	True	True
Aldh1a2	True	True
Aldh1a3	True	False
Aldh1a7	False	True
Aldh1b1	False	False
Aldh1l1	False	False
Aldh1l2	False	True
Aldh2	False	False
Aldh3a1	False	False
Aldh3a2	False	True
Aldh3b1	True	True
Aldh3b2	False	True
Aldh3b3	False	False
Aldh4a1	False	False
Aldh5a1	False	False
Aldh6a1	False	False
Aldh7a1	False	False
Aldh8a1	False	True
Aldh9a1	False	False
Aldoa	False	False
Aldoart1	False	False
Aldoart2	False	False
Aldob	True	True
Aldoc	False	False
Alg1	False	False
Alg10b	False	False
Alg11	False	False
Alg12	False	True
Alg13	False	True
Alg14	False	False
Alg2	False	False
Alg3	False	False
Alg5	False	False
Alg6	False	False
Alg8	False	False
Alg9	False	False
Alk	False	False
Alkal1	False	False
Alkal2	False	False
Alkbh1	False	True
Alkbh2	False	False
Alkbh3	False	True
Alkbh4	False	False
Alkbh5	False	False
Alkbh6	False	False
Alkbh7	False	False
Alkbh8	False	False
Allc	True	True
Alms1	False	False
Alox12	False	False
Alox12b	False	False
Alox12e	False	True
Alox15	False	True
Alox5	False	True
Alox5ap	False	False
Alox8	True	False
Aloxe3	False	False
Alpi	True	False
Alpk1	False	False
Alpk2	False	False
Alpk3	True	False
Alpl	True	True
Alppl2	True	False
Als2	False	False
Als2cl	False	False
Alx1	True	True
Alx3	False	False
Alx4	False	True
Alyref	False	False
Alyref2	False	False
Amacr	False	True
Ambn	True	False
Ambp	False	True
Ambra1	False	False
Amd1	False	False
Amd2	True	False
Amdhd1	False	False
Amdhd2	False	False
Amelx	True	False
Amer1	False	False
Amer2	False	False
Amer3	False	False
Amfr	False	False
Amh	True	False
Amhr2	False	False
Amigo1	False	False
Amigo2	True	False
Amigo3	False	True
Ammecr1	False	False
Amn	False	True
Amot	False	True
Amotl1	False	True
Amotl2	False	False
Ampd1	True	True
Ampd2	False	False
Ampd3	False	True
Amph	False	False
Amt	False	False
Amtn	False	False
Amy1	False	False
Amy2a2	False	False
Amy2a5	True	False
Amz1	False	True
Amz2	False	False
Anapc1	False	False
Anapc10	False	False
Anapc11	False	True
Anapc13	False	True
Anapc15	False	False
Anapc16	False	False
Anapc2	False	True
Anapc4	False	True
Anapc5	False	True
Anapc7	False	False
Ang	False	True
Ang2	False	False
Ang3	True	True
Ang4	True	False
Ang6	False	False
Angel1	False	False
Angel2	True	True
Angpt1	True	False
Angpt2	True	False
Angpt4	False	False
Angptl1	False	True
Angptl2	False	True
Angptl3	True	False
Angptl4	True	False
Angptl6	False	True
Angptl7	True	True
Angptl8	False	False
Ank	False	False
Ank1	False	False
Ank2	False	True
Ank3	False	True
Ankar	False	True
Ankdd1b	False	True
Ankfy1	False	False
Ankib1	False	True
Ankk1	False	False
Ankle1	False	False
Ankle2	False	False
Ankmy1	False	True
Ankmy2	False	True
Ankra2	False	False
Ankrd1	True	False
Ankrd10	False	True
Ankrd11	False	True
Ankrd12	False	False
Ankrd13a	False	True
Ankrd13b	False	False
Ankrd13c	False	False
Ankrd13d	False	False
Ankrd16	False	False
Ankrd17	False	True
Ankrd2	True	False
Ankrd23	True	False
Ankrd26	False	False
Ankrd27	False	False
Ankrd28	False	False
Ankrd31	False	False
Ankrd33	False	False
Ankrd33b	False	True
Ankrd34b	False	True
Ankrd36	False	True
Ankrd37	False	True
Ankrd42	False	False
Ankrd45	False	False
Ankrd46	False	False
Ankrd49	False	False
Ankrd50	False	True
Ankrd53	False	False
Ankrd6	False	False
Ankrd61	False	False
Ankrd7	False	False
Ankrd9	False	False
Anks1	False	False
Anks1b	False	True
Anks3	False	False
Anks4b	False	False
Anks6	False	False
Ankzf1	False	False
Anln	False	False
Ano1	False	False
Ano10	False	True
Ano2	False	False
Ano3	False	True
Ano4	False	True
Ano5	False	True
Ano6	False	True
Ano7	False	True
Ano8	False	False
Ano9	False	False
Anp32a	False	False
Anp32b	False	False
Anp32e	False	True
Anpep	False	False
Antkmt	False	False
Antxr1	False	False
Antxr2	False	False
Antxrl	False	False
Anxa1	True	True
Anxa10	True	False
Anxa11	False	False
Anxa13	False	False
Anxa2	True	False
